shop_name,name,productId
4men-vn,"Áo Sơ Mi Regular Caro 4MEN ASM112 vải sợi tổng hợp thoáng mồ hôi, mềm mịn, màu basic, thanh lịch, hiện đại",ASM112
4men-vn,"Quần Jeans Nam Trơn Slimfit Black Smoke 4MEN QJ066 form đứng tôn dáng, vải demin mềm mại, co giãn tốt, trẻ trυng",QJ066
4men-vn,"Quần Tây Nam Slimfit Túi Mini Kiểu 4MEN QT039 trẻ trυng, thanh lịch, form dáng đứng đẹp, vải polytester mềm, co giãn tốt",QT039
4men-vn,"Áo Sơ Mi Nam Phối Họa Tiết 4MEN SM012 vải cotton pha polyester mềm mịn, thấm mồ hôi, thoáng mát, tôn dáng, trẻ trung",SM012
4men-vn,"Áo Sơ Mi Nam Flannel Loose Túi Đắp 4MEN SM123 dài tay, cổ bẻ, họa tiết kẻ caro trẻ trυng, vải mềm mại, thấm mồ hôi",SM123
4men-vn,"Áo Sơ Mi Nam Linen Regular Cổ trụ 4MEN ASM107 tay dài thanh lịch, xẻ Եà, chất vải linen bền đẹp, thấm mồ hôi tốt",ASM107
4men-vn,"Quần Short Slimfit Greywash 4MEN QS034 khóa nút ngắn túi đùi basic, trẻ trυng, vải mềm mại, co giãn, giữ form tốt",QS034
4men-vn,"Quần Kaki Nam Trơn Túi Rã Form Slimfit 4MEN QK021 ôm tôn dáng, vải mềm, dày dặn, co giãn thoải mái, trẻ trυng, hiện đại",QK021
4men-vn,"Quần Jeans Nam Regular Rách Light Blue 4MEN QJ061 thời trang, form dáng đẹp, ôm vừa phải, vải co giãn, mềm mạ, dày dặn",QJ061
4men-vn,"Quần Jeans Nam 4MEN Slimfit Grey QJ052 Màu Đen, vải cotton co giãn, thoáng mát, thấm mồ hôi, bền màu, trẻ trυng",QJ052
4men-vn,"Quần Jeans Basic Form Slimfit 4MEN QJ084, vải cotton mềm mại pha spandex co giãn tiện lợi, thoải mái",QJ084
4men-vn,"Quần Jeans Nam Form Slimfit Grey Faded 4MEN QJ070 trơn vải denim đẹp, co giãn, mềm mại, tôn dáng, trẻ trυng",QJ070
4men-vn,"Áo Khoác Nam Da Lộn Regular Phối Màu 4MEN AK047 dày dặn, giữ nhiệt, khóa zip, form đẹp, trẻ trυng, sang trọng",AK047
4men-vn,"Áo Khoác Nam 4MEN Form Loose Thêu Posible AK030 vải dày dặn, lên form đẹp, trẻ trυng",AK030
4men-vn,"Quần Short Jeans Thêu Wave Form Regular 4MEN QS043 nam vải denim dày dặn, mềm mại, thoáng mát, co giãn, trẻ trυng",QS043
4men-vn,"Áo Polo Nam Tổ Ong Phối Màu Kẻ Form Regular 4MEN PO111 tay ngắn cổ bẻ thanh lịch, vải thoáng khí, co giãn mềm mại",PO111
